number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_cv_recall_std,state
73,0.7157446808510638,2026-02-05 23:06:37.107296,2026-02-05 23:06:37.331323,0 days 00:00:00.224027,0.8011269604548306,0.2790998798421746,0.010452622019099854,3,1,485,0.03255543722454792,0.15659445481505632,0.6723368869722166,0.027234042553191482,COMPLETE
74,0.8842553191489362,2026-02-05 23:06:37.691982,2026-02-05 23:06:37.924936,0 days 00:00:00.232954,0.7534293709551131,0.23968986735922646,0.27404395723671604,3,1,357,0.07921040856900759,0.23415429212399358,0.6875716677972202,0.014342382592640587,COMPLETE
75,0.876595744680851,2026-02-05 23:06:38.335049,2026-02-05 23:06:38.596558,0 days 00:00:00.261509,0.8266051810891785,0.19289688840713665,0.19318166212877197,3,1,489,0.0006725831101217217,0.07654295051374596,0.6251339628917076,0.025102776517025745,COMPLETE
76,0.8910638297872341,2026-02-05 23:06:38.992895,2026-02-05 23:06:39.149486,0 days 00:00:00.156591,0.8048601366449978,0.26820637049698787,0.27597700847866824,3,1,473,0.221936844153307,0.16013750578912106,0.6638675929918808,0.003404255319148941,COMPLETE
77,0.8689361702127659,2026-02-05 23:06:39.534725,2026-02-05 23:06:39.701164,0 days 00:00:00.166439,0.8000791992238683,0.2812467758172416,0.20824728471347553,3,1,424,0.15408546466341927,0.15944829913235423,0.6957895350137591,0.0121556228570942,COMPLETE
78,0.8348936170212765,2026-02-05 23:06:40.060923,2026-02-05 23:06:40.301523,0 days 00:00:00.240600,0.776344995631012,0.33405758774587596,0.2766276464163373,10,1,441,0.8503192541842703,0.007626921033264317,0.664764487938381,0.027100737579728817,COMPLETE
79,0.691063829787234,2026-02-05 23:06:40.645754,2026-02-05 23:06:40.770938,0 days 00:00:00.125184,0.7527876377766166,0.21963626306811007,0.030498080694873118,3,1,128,0.21433331714709322,0.27585673402075184,0.638512858411673,0.01797337198463226,COMPLETE
80,0.7327659574468085,2026-02-05 23:06:41.115463,2026-02-05 23:06:41.368227,0 days 00:00:00.252764,0.8130224127226477,0.23566797558369734,0.015788050384567074,3,1,499,0.10780046105872133,0.13081357431917046,0.616688116742374,0.02428143424287166,COMPLETE
81,0.8910638297872341,2026-02-05 23:06:41.764787,2026-02-05 23:06:41.970065,0 days 00:00:00.205278,0.9413552552288194,0.2876791531098614,0.28577109133459533,3,1,474,0.9919262221810111,0.2057330112718572,0.6645322753549466,0.009553167796018554,COMPLETE
82,0.8842553191489362,2026-02-05 23:06:42.352584,2026-02-05 23:06:42.603016,0 days 00:00:00.250432,0.7855157624555219,0.28722496754251864,0.29732466490084763,3,1,469,0.9783238482437463,0.20264561407412984,0.6431973305028748,0.0162372630028416,COMPLETE
83,0.8570212765957448,2026-02-05 23:06:42.962777,2026-02-05 23:06:43.200947,0 days 00:00:00.238170,0.8541834391729093,0.26248039309405236,0.22348565511041912,4,1,489,0.781177703916934,0.06630413352163628,0.6590027173604566,0.01951888500626337,COMPLETE
84,0.8927659574468085,2026-02-05 23:06:43.555900,2026-02-05 23:06:43.799144,0 days 00:00:00.243244,0.87300758644477,0.31602838824362967,0.2651287861886434,3,1,456,0.5477805738273499,0.3781089712231417,0.6901110949809696,0.027366698197129398,COMPLETE
85,0.8936170212765958,2026-02-05 23:06:44.164633,2026-02-05 23:06:44.385802,0 days 00:00:00.221169,0.8649053198993375,0.36651986852077295,0.27018435738061214,3,1,455,0.7308243293087451,0.33135541014821723,0.7096352941886853,0.019592960737398,COMPLETE
86,0.8238297872340427,2026-02-05 23:06:44.724049,2026-02-05 23:06:44.905252,0 days 00:00:00.181203,0.8715157988298399,0.37304035188808593,0.24522979076357176,8,2,257,0.5649981208923085,0.34901824454641894,0.713014854794366,0.027127450979590177,COMPLETE
87,0.8910638297872341,2026-02-05 23:06:45.243889,2026-02-05 23:06:45.421600,0 days 00:00:00.177711,0.8779802692557807,0.36523586879272774,0.26254805757099947,3,1,452,0.5534680094663479,0.427288056257289,0.7010421675333429,0.016281809761454432,COMPLETE
88,0.8731914893617022,2026-02-05 23:06:45.784099,2026-02-05 23:06:45.974105,0 days 00:00:00.190006,0.8396167669966209,0.41794869692364345,0.2354295265484632,3,2,431,0.7131571696007253,0.28393288012959794,0.6931500122673672,0.015080889486527086,COMPLETE
89,0.8331914893617022,2026-02-05 23:06:46.315382,2026-02-05 23:06:46.531463,0 days 00:00:00.216081,0.8503316328266837,0.32085472601020065,0.27538337732002266,9,1,308,0.47399509622223335,0.43898077446860534,0.6694029243622378,0.026009713684997673,COMPLETE
90,0.8204255319148936,2026-02-05 23:06:46.894730,2026-02-05 23:06:47.027377,0 days 00:00:00.132647,0.809327357164688,0.26599378668079166,0.20915186963150162,3,1,235,0.6836183341727996,0.33571175792240876,0.6473554142137724,0.023829787234042558,COMPLETE
